"class","注音_class","去聲調_class"
"資訊科技應用（二）","ㄗㄒㄩㄣˋㄎㄜㄐㄧˋㄧㄥˋㄩㄥˋㄦˋ","ㄗㄒㄩㄣㄎㄜㄐㄧㄧㄥㄩㄥㄦ"
"經濟學（一）","ㄐㄧㄥㄐㄧˋㄒㄩㄝˊㄧ","ㄐㄧㄥㄐㄧㄒㄩㄝㄧ"
"人力資源管理","ㄖㄣˊㄌㄧˋㄗㄩㄢˊㄍㄨㄢˇㄌㄧˇ","ㄖㄣㄌㄧㄗㄩㄢㄍㄨㄢㄌㄧ"
"高等視窗程式設計","ㄍㄠㄉㄥˇㄕˋㄔㄨㄤㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄍㄠㄉㄥㄕㄔㄨㄤㄔㄥㄕㄕㄜㄐㄧ"
"Python程式設計","Pythonㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","Pythonㄔㄥㄕㄕㄜㄐㄧ"
"資料庫應用實作","ㄗㄌㄧㄠˋㄎㄨˋㄧㄥˋㄩㄥˋㄕˊㄗㄨㄛˋ","ㄗㄌㄧㄠㄎㄨㄧㄥㄩㄥㄕㄗㄨㄛ"
"資訊產業分析","ㄗㄒㄩㄣˋㄔㄢˇㄧㄝˋㄈㄣㄒㄧ","ㄗㄒㄩㄣㄔㄢㄧㄝㄈㄣㄒㄧ"
"資訊技術服務管理","ㄗㄒㄩㄣˋㄐㄧˋㄕㄨˋㄈㄨˊㄨˋㄍㄨㄢˇㄌㄧˇ","ㄗㄒㄩㄣㄐㄧㄕㄨㄈㄨㄨㄍㄨㄢㄌㄧ"
"物聯網技術","ㄨˋㄌㄧㄢˊㄨㄤˇㄐㄧˋㄕㄨˋ","ㄨㄌㄧㄢㄨㄤㄐㄧㄕㄨ"
"電子商務","ㄉㄧㄢˋㄗˇㄕㄤㄨˋ","ㄉㄧㄢㄗㄕㄤㄨ"
"Windows.NET技術實作與應用","Windows.NETㄐㄧˋㄕㄨˋㄕˊㄗㄨㄛˋㄩˇㄧㄥˋㄩㄥˋ","Windows.NETㄐㄧㄕㄨㄕㄗㄨㄛㄩㄧㄥㄩㄥ"
"資訊架構與使用者經驗設計","ㄗㄒㄩㄣˋㄐㄧㄚˋㄍㄡˋㄩˇㄕˇㄩㄥˋㄓㄜˇㄐㄧㄥㄧㄢˋㄕㄜˋㄐㄧˋ","ㄗㄒㄩㄣㄐㄧㄚㄍㄡㄩㄕㄩㄥㄓㄜㄐㄧㄥㄧㄢㄕㄜㄐㄧ"
"網路行銷","ㄨㄤˇㄌㄨˋㄒㄧㄥˊㄒㄧㄠ","ㄨㄤㄌㄨㄒㄧㄥㄒㄧㄠ"
"顧客關係管理","ㄍㄨˋㄎㄜˋㄍㄨㄢㄒㄧˋㄍㄨㄢˇㄌㄧˇ","ㄍㄨㄎㄜㄍㄨㄢㄒㄧㄍㄨㄢㄌㄧ"
"資訊科技與知識管理","ㄗㄒㄩㄣˋㄎㄜㄐㄧˋㄩˇㄓㄕˋㄍㄨㄢˇㄌㄧˇ","ㄗㄒㄩㄣㄎㄜㄐㄧㄩㄓㄕㄍㄨㄢㄌㄧ"
"專案管理","ㄓㄨㄢㄢˋㄍㄨㄢˇㄌㄧˇ","ㄓㄨㄢㄢㄍㄨㄢㄌㄧ"
"策略管理","ㄘㄜˋㄌㄩㄝˋㄍㄨㄢˇㄌㄧˇ","ㄘㄜㄌㄩㄝㄍㄨㄢㄌㄧ"
"資料探勘","ㄗㄌㄧㄠˋㄊㄢˋㄎㄢ","ㄗㄌㄧㄠㄊㄢㄎㄢ"
"創新與創業","ㄔㄨㄤˋㄒㄧㄣㄩˇㄔㄨㄤˋㄧㄝˋ","ㄔㄨㄤㄒㄧㄣㄩㄔㄨㄤㄧㄝ"
"ERP與財務管理","ERPㄩˇㄘㄞˊㄨˋㄍㄨㄢˇㄌㄧˇ","ERPㄩㄘㄞㄨㄍㄨㄢㄌㄧ"
"電子化企業","ㄉㄧㄢˋㄗˇㄏㄨㄚˋㄑㄧˋㄧㄝˋ","ㄉㄧㄢㄗㄏㄨㄚㄑㄧㄧㄝ"
"資訊科技管理","ㄗㄒㄩㄣˋㄎㄜㄐㄧˋㄍㄨㄢˇㄌㄧˇ","ㄗㄒㄩㄣㄎㄜㄐㄧㄍㄨㄢㄌㄧ"
"企業實習進階","ㄑㄧˋㄧㄝˋㄕˊㄒㄧˊㄐㄧㄣˋㄐㄧㄝ","ㄑㄧㄧㄝㄕㄒㄧㄐㄧㄣㄐㄧㄝ"
"職場實務專題","ㄓˊㄔㄤˊㄕˊㄨˋㄓㄨㄢㄊㄧˊ","ㄓㄔㄤㄕㄨㄓㄨㄢㄊㄧ"
"演算法","ㄧㄢˇㄙㄨㄢˋㄈㄚˇ","ㄧㄢㄙㄨㄢㄈㄚ"
"管理決策分析專題","ㄍㄨㄢˇㄌㄧˇㄐㄩㄝˊㄘㄜˋㄈㄣㄒㄧㄓㄨㄢㄊㄧˊ","ㄍㄨㄢㄌㄧㄐㄩㄝㄘㄜㄈㄣㄒㄧㄓㄨㄢㄊㄧ"
"大數據專題","ㄉㄚˋㄕㄨˋㄐㄩˋㄓㄨㄢㄊㄧˊ","ㄉㄚㄕㄨㄐㄩㄓㄨㄢㄊㄧ"
"企業智慧系統專題","ㄑㄧˋㄧㄝˋㄓˋㄏㄨㄟˋㄒㄧˋㄊㄨㄥˇㄓㄨㄢㄊㄧˊ","ㄑㄧㄧㄝㄓㄏㄨㄟㄒㄧㄊㄨㄥㄓㄨㄢㄊㄧ"
